config_id,search_scope,target_document,top_k,query_count,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
hier_article,target_acts,E,5,17,0.3058823529411765,0.7441176470588236,0.4177871148459384,0.538235294117647,0.6784313725490196,0.6514836530443967,5.0,1.5294117647058822
hier_article,target_acts,E,10,17,0.17058823529411768,0.7823529411764706,0.2712797006914654,0.538235294117647,0.6784313725490196,0.6715086414313869,10.0,1.7058823529411764
hier_article,target_acts,G,5,17,0.3058823529411765,0.5803921568627451,0.36103308456249633,0.44313725490196076,0.6715686274509803,0.5610919873947801,5.0,1.5294117647058822
hier_article,target_acts,G,10,17,0.19411764705882353,0.6980392156862746,0.28309892721657426,0.45294117647058824,0.6848039215686275,0.597702875840564,10.0,1.9411764705882353
hier_article,target_acts,RI,5,7,0.2857142857142857,0.44523809523809527,0.33572459286745004,0.3738095238095238,0.7142857142857143,0.46182234900145547,5.0,1.4285714285714286
hier_article,target_acts,RI,10,7,0.21428571428571427,0.6404761904761905,0.31190476190476196,0.3976190476190476,0.7142857142857143,0.5571112613635368,10.0,2.142857142857143
hier_article,target_acts,RII,5,3,0.4666666666666666,0.351010101010101,0.35690235690235683,0.351010101010101,0.8333333333333334,0.5578682991638692,5.0,2.3333333333333335
hier_article,target_acts,RII,10,3,0.3,0.4217171717171717,0.30952380952380953,0.4217171717171717,0.8333333333333334,0.5408396742061236,10.0,3.0
hier_article,target_acts,W,5,21,0.29523809523809524,0.5373015873015873,0.3561705490276919,0.44999999999999996,0.861111111111111,0.5800227479385329,5.0,1.4761904761904763
hier_article,target_acts,W,10,21,0.18095238095238098,0.6301587301587301,0.2681552574409717,0.457936507936508,0.861111111111111,0.6195091070502992,10.0,1.8095238095238095
hier_paragraph,all_acts,B,5,10,0.425,0.545,0.45826118326118326,0.5116666666666666,0.85,0.6251473381061368,4.6,1.9
hier_paragraph,all_acts,B,10,10,0.2,0.545,0.28484432234432233,0.5116666666666666,0.85,0.6000174543049535,9.6,1.9
hier_paragraph,all_acts,E,5,17,0.3490196078431373,0.7000000000000001,0.45172735760971056,0.6264705882352941,0.7941176470588235,0.6904803953797207,4.235294117647059,1.4705882352941178
hier_paragraph,all_acts,E,10,17,0.21232492997198876,0.7999999999999999,0.3254732195908666,0.6264705882352941,0.8039215686274509,0.7338349565987452,8.117647058823529,1.7058823529411764
hier_paragraph,all_acts,G,5,17,0.3735294117647059,0.6392156862745099,0.4247500865147924,0.4235294117647059,0.6931372549019608,0.5867116944507367,4.588235294117647,1.7058823529411764
hier_paragraph,all_acts,G,10,17,0.21657329598506067,0.6490196078431373,0.29714697067638246,0.4333333333333333,0.6931372549019608,0.5669529235369712,8.529411764705882,1.7647058823529411
hier_paragraph,all_acts,RI,5,7,0.33571428571428574,0.47380952380952385,0.37903525046382186,0.47380952380952385,0.9047619047619048,0.5483803790251967,4.714285714285714,1.5714285714285714
hier_paragraph,all_acts,RI,10,7,0.18888888888888888,0.5452380952380953,0.2726975405546834,0.47380952380952385,0.9047619047619048,0.574358899745677,9.285714285714286,1.7142857142857142
hier_paragraph,all_acts,RII,5,3,0.4666666666666666,0.351010101010101,0.35690235690235683,0.351010101010101,1.0,0.5946385219001105,5.0,2.3333333333333335
hier_paragraph,all_acts,RII,10,3,0.32962962962962966,0.3813131313131313,0.30303970223325066,0.3813131313131313,1.0,0.5666710068120151,9.333333333333334,3.0
hier_paragraph,all_acts,W,5,21,0.3412698412698413,0.5357142857142857,0.376832955404384,0.4523809523809524,0.8730158730158729,0.6098530311540623,4.476190476190476,1.4285714285714286
hier_paragraph,all_acts,W,10,21,0.21704459561602418,0.6087301587301587,0.3007415864558722,0.4722222222222222,0.8730158730158729,0.6236356501106316,8.333333333333334,1.7142857142857142
hier_paragraph,pil_acts,B,5,10,0.425,0.545,0.45826118326118326,0.5116666666666666,0.85,0.6272038935024562,4.6,1.9
hier_paragraph,pil_acts,B,10,10,0.2,0.545,0.28484432234432233,0.5116666666666666,0.85,0.6020740097012729,9.6,1.9
hier_paragraph,pil_acts,RI,5,7,0.33571428571428574,0.47380952380952385,0.37903525046382186,0.47380952380952385,0.9047619047619048,0.5483803790251967,4.714285714285714,1.5714285714285714
hier_paragraph,pil_acts,RI,10,7,0.20079365079365077,0.5809523809523809,0.29101255886970173,0.47380952380952385,0.9047619047619048,0.5919519275128718,9.428571428571429,1.8571428571428572
hier_paragraph,pil_acts,RII,5,3,0.4666666666666666,0.351010101010101,0.35690235690235683,0.351010101010101,1.0,0.5946385219001105,5.0,2.3333333333333335
hier_paragraph,pil_acts,RII,10,3,0.32962962962962966,0.3813131313131313,0.30303970223325066,0.3813131313131313,1.0,0.5666710068120151,9.333333333333334,3.0
hier_paragraph,target_acts,B,5,10,0.45499999999999996,0.5700000000000001,0.488023088023088,0.5700000000000001,0.9,0.6643838637782815,4.5,2.0
hier_paragraph,target_acts,B,10,10,0.29904761904761906,0.765,0.417534965034965,0.5700000000000001,0.9166666666666666,0.7297223205002715,8.9,2.6
hier_paragraph,target_acts,E,5,17,0.37254901960784315,0.7294117647058824,0.47973856209150323,0.6264705882352941,0.7941176470588235,0.7110144583322424,4.117647058823529,1.5294117647058822
hier_paragraph,target_acts,E,10,17,0.2225957049486461,0.7999999999999999,0.3382480264833206,0.6264705882352941,0.8039215686274509,0.7423465255754734,7.823529411764706,1.7058823529411764
hier_paragraph,target_acts,G,5,17,0.3735294117647059,0.6392156862745099,0.4247500865147924,0.4235294117647059,0.6931372549019608,0.5867116944507367,4.588235294117647,1.7058823529411764
hier_paragraph,target_acts,G,10,17,0.22497665732959848,0.6490196078431373,0.3016718575542105,0.4333333333333333,0.6931372549019608,0.5669529235369712,8.470588235294118,1.7647058823529411
hier_paragraph,target_acts,RI,5,7,0.38571428571428573,0.5095238095238096,0.4226860441146156,0.5095238095238096,0.9047619047619048,0.5783879929289704,4.571428571428571,1.7142857142857142
hier_paragraph,target_acts,RI,10,7,0.22312925170068026,0.5809523809523809,0.31256243756243757,0.5095238095238096,0.9047619047619048,0.6070508387853266,8.714285714285714,1.8571428571428572
hier_paragraph,target_acts,RII,5,3,0.4666666666666666,0.351010101010101,0.35690235690235683,0.351010101010101,1.0,0.6036593514750882,5.0,2.3333333333333335
hier_paragraph,target_acts,RII,10,3,0.32962962962962966,0.3813131313131313,0.30303970223325066,0.3813131313131313,1.0,0.575691836386993,9.333333333333334,3.0
hier_paragraph,target_acts,W,5,21,0.3595238095238095,0.5476190476190477,0.3970521541950114,0.4642857142857143,0.8968253968253967,0.6215817163321924,4.333333333333333,1.4761904761904763
hier_paragraph,target_acts,W,10,21,0.2384542705971277,0.6603174603174603,0.3313858099572385,0.4841269841269841,0.8968253968253967,0.6527935362191335,8.19047619047619,1.9047619047619047
hier_paragraph_contextualized,all_acts,B,5,10,0.385,0.495,0.4150793650793651,0.495,0.8,0.5901911533226702,4.6,1.7
hier_paragraph_contextualized,all_acts,B,10,10,0.22527777777777777,0.5533333333333333,0.30725940725940726,0.495,0.8,0.5968296310781471,9.0,1.9
hier_paragraph_contextualized,all_acts,E,5,17,0.4372549019607843,0.7000000000000001,0.5112044817927172,0.6558823529411765,0.7843137254901961,0.6971773609654451,3.6470588235294117,1.4705882352941178
hier_paragraph_contextualized,all_acts,E,10,17,0.2553221288515406,0.8117647058823529,0.37567367273249624,0.6558823529411765,0.7941176470588235,0.745034696057345,7.0588235294117645,1.7647058823529411
