query_id,baseline_config_id,hierarchy_config_id,search_scope,top_k,specificity,target_document_codes,baseline_precision,hierarchy_precision,delta_precision,baseline_recall,hierarchy_recall,delta_recall,baseline_f1,hierarchy_f1,delta_f1,baseline_r_precision,hierarchy_r_precision,delta_r_precision,baseline_mrr,hierarchy_mrr,delta_mrr,baseline_ndcg,hierarchy_ndcg,delta_ndcg
q4eu_027,sem_50_256,hier_paragraph,target_acts,10,H,G,0.1111111111111111,0.1111111111111111,0.0,1.0,1.0,0.0,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
q4eu_028,fs_256_50,hier_paragraph,target_acts,10,N,G,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.5,0.5,0.0,0.1818181818181818,0.30769230769230765,0.12587412587412586,0.25,0.5,0.25,0.5,1.0,0.5,0.369453583111095,0.5855700749881525,0.2161164918770575
q4eu_028,sem_50_256,hier_paragraph,target_acts,10,N,G,0.18181818181818182,0.2222222222222222,0.04040404040404039,0.5,0.5,0.0,0.26666666666666666,0.30769230769230765,0.04102564102564099,0.5,0.5,0.0,1.0,1.0,0.0,0.5855700749881525,0.5855700749881525,0.0
q4eu_029,fs_256_50,hier_paragraph,target_acts,10,N,G,0.06666666666666667,0.14285714285714285,0.07619047619047618,0.5,0.5,0.0,0.11764705882352941,0.22222222222222224,0.10457516339869283,0.5,0.5,0.0,1.0,1.0,0.0,0.6131471927654584,0.6131471927654584,0.0
q4eu_029,sem_50_256,hier_paragraph,target_acts,10,N,G,0.14285714285714285,0.14285714285714285,0.0,0.5,0.5,0.0,0.22222222222222224,0.22222222222222224,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.6131471927654584,0.6131471927654584,0.0
q4eu_030,fs_256_50,hier_paragraph,target_acts,10,N,G,0.13333333333333333,0.1,-0.033333333333333326,0.5,0.25,-0.25,0.2105263157894737,0.14285714285714288,-0.06766917293233082,0.0,0.25,0.25,0.2,0.5,0.3,0.25651520246291565,0.24630238874073,-0.01021281372218566
q4eu_030,sem_50_256,hier_paragraph,target_acts,10,N,G,0.15384615384615385,0.1,-0.05384615384615385,0.5,0.25,-0.25,0.23529411764705882,0.14285714285714288,-0.09243697478991594,0.25,0.25,0.0,0.3333333333333333,0.5,0.16666666666666669,0.30408378606428305,0.24630238874073,-0.05778139732355306
q4eu_031,fs_256_50,hier_paragraph,target_acts,10,H,G,0.07692307692307693,0.25,0.17307692307692307,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.125,0.36363636363636365,0.23863636363636365,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.5,0.0,0.2960819109658652,0.5307212739772434,0.23463936301137822
q4eu_031,sem_50_256,hier_paragraph,target_acts,10,H,G,0.2222222222222222,0.25,0.02777777777777779,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.36363636363636365,0.03030303030303033,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.5,0.0,0.4632423659320675,0.5307212739772434,0.06747890804517592
q4eu_032,fs_256_50,hier_paragraph,target_acts,10,N,G,0.1,0.2222222222222222,0.1222222222222222,0.6666666666666666,0.6666666666666666,0.0,0.1739130434782609,0.3333333333333333,0.15942028985507242,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.6666666666666667,0.40179981797758046,0.6508205185601091,0.24902070058252868
q4eu_032,sem_50_256,hier_paragraph,target_acts,10,N,G,0.2727272727272727,0.2222222222222222,-0.0505050505050505,1.0,0.6666666666666666,-0.33333333333333337,0.42857142857142855,0.3333333333333333,-0.09523809523809523,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.8194270280062366,0.6508205185601091,-0.16860650944612743
q4eu_033,fs_256_50,hier_paragraph,target_acts,10,L,G,0.4,1.0,0.6,1.0,1.0,0.0,0.5714285714285715,1.0,0.4285714285714285,0.8333333333333334,1.0,0.16666666666666663,1.0,1.0,0.0,0.9838048780283076,1.0,0.016195121971692372
