config_id,search_scope,top_k,query_count,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
hier_paragraph,target_acts,5,72,0.3900462962962963,0.6076809764309764,0.4401260776260776,0.5081439393939394,0.8256944444444445,0.6380524010062545,4.388888888888889,1.6805555555555556
hier_paragraph,target_acts,10,72,0.24632385361552028,0.6948232323232323,0.34022929852902967,0.5175084175084175,0.830324074074074,0.6616000646413434,8.305555555555555,1.9861111111111112
hier_paragraph_contextualized,all_acts,5,72,0.4164351851851852,0.5470959595959596,0.4342962849907294,0.5100589225589226,0.8344907407407408,0.6344109704390178,3.9027777777777777,1.4583333333333333
hier_paragraph_contextualized,all_acts,10,72,0.2718860229276896,0.6665824915824916,0.3572826093659427,0.5241056397306397,0.8402777777777778,0.6631096630530761,7.5,1.8888888888888888
hier_paragraph_contextualized,pil_acts,5,17,0.396078431372549,0.4700534759358289,0.41072206660441957,0.45534759358288773,0.8137254901960784,0.5652708743658948,4.588235294117647,1.7647058823529411
hier_paragraph_contextualized,pil_acts,10,17,0.2719421101774043,0.5731729055258468,0.3417425711543358,0.46336898395721926,0.8137254901960784,0.6090131695933885,8.705882352941176,2.235294117647059
hier_paragraph_contextualized,target_acts,5,72,0.4608796296296296,0.5938552188552189,0.48032803102247545,0.5371422558922558,0.8518518518518519,0.6710985236640028,3.8055555555555554,1.6111111111111112
hier_paragraph_contextualized,target_acts,10,72,0.2935185185185185,0.7029250841750841,0.3840762632429299,0.5535037878787878,0.8576388888888888,0.6963090170344727,7.347222222222222,2.0277777777777777
hier_subparagraph,all_acts,5,72,0.3509259259259259,0.5505050505050505,0.39281567198233863,0.4636994949494949,0.7717592592592593,0.5850204185218374,4.569444444444445,1.5416666666666667
hier_subparagraph,all_acts,10,72,0.2193121693121693,0.6363741582491582,0.30439090852397305,0.477114898989899,0.7740740740740741,0.6056751944121973,8.708333333333334,1.8472222222222223
hier_subparagraph,pil_acts,5,17,0.4264705882352941,0.5070409982174687,0.43431796961208724,0.48743315508021395,0.8725490196078431,0.6141588668595311,4.705882352941177,1.9411764705882353
hier_subparagraph,pil_acts,10,17,0.24330065359477124,0.568270944741533,0.3177819176396027,0.49278074866310156,0.8725490196078431,0.6147792212041623,9.352941176470589,2.235294117647059
hier_subparagraph,target_acts,5,72,0.37800925925925927,0.5833754208754208,0.42284212700879364,0.48036616161616164,0.7918981481481482,0.6127062413169692,4.486111111111111,1.6388888888888888
hier_subparagraph,target_acts,10,72,0.2403990299823633,0.6773463804713804,0.3332159415156727,0.49378156565656567,0.794212962962963,0.6375353389267746,8.472222222222221,1.9861111111111112
sem_50_128,all_acts,5,72,0.3437996031746032,0.577756734006734,0.4001369001369002,0.42590488215488215,0.7150462962962963,0.5657092664027831,4.694444444444445,1.5694444444444444
sem_50_128,all_acts,10,72,0.22875184229350895,0.6934974747474747,0.3200465706079242,0.43979377104377104,0.7206018518518519,0.6087889915917901,9.041666666666666,1.9722222222222223
sem_50_128,pil_acts,5,17,0.3686274509803922,0.5195187165775401,0.4049062049062049,0.3999108734402852,0.653921568627451,0.5203953073164861,5.470588235294118,2.0
sem_50_128,pil_acts,10,17,0.22754353489647605,0.5969696969696969,0.30965115424318457,0.3999108734402852,0.653921568627451,0.5506146662992175,10.411764705882353,2.3529411764705883
sem_50_128,target_acts,5,72,0.3620866402116402,0.601830808080808,0.42080488955488954,0.46155303030303035,0.7717592592592593,0.6057615093308866,4.694444444444445,1.6666666666666667
sem_50_128,target_acts,10,72,0.25573947657280993,0.734006734006734,0.3538904817802667,0.47544191919191925,0.7792989417989418,0.656284638829436,8.680555555555555,2.111111111111111
sem_50_256,all_acts,5,72,0.2801151394901395,0.5439078282828284,0.33854869056018483,0.42816708754208754,0.7064814814814815,0.5335550479687655,5.555555555555555,1.4305555555555556
sem_50_256,all_acts,10,72,0.1831398154314821,0.6670454545454545,0.269521240880245,0.43741582491582487,0.7080246913580246,0.5827375930816647,10.694444444444445,1.875
sem_50_256,pil_acts,5,17,0.2649414311179017,0.42370766488413547,0.30434259227362676,0.359982174688057,0.6073529411764705,0.42761368992406906,6.647058823529412,1.6470588235294117
sem_50_256,pil_acts,10,17,0.18079436902966317,0.5437611408199644,0.25269259969678837,0.3751336898395722,0.6073529411764705,0.47861085927212677,12.411764705882353,2.176470588235294
sem_50_256,target_acts,5,72,0.2925434904601571,0.5652041245791246,0.3548512151960428,0.4466856060606061,0.7319444444444445,0.5564860492339609,5.513888888888889,1.5
sem_50_256,target_acts,10,72,0.20429279439696107,0.7200547138047138,0.2989756753108146,0.45824915824915824,0.7359953703703703,0.6218661854297998,10.555555555555555,2.0694444444444446
sem_50_64,all_acts,5,72,0.36474867724867727,0.5817550505050505,0.4144847436514103,0.49332912457912453,0.7881944444444444,0.6131764224473226,4.402777777777778,1.5416666666666667
sem_50_64,all_acts,10,72,0.241577943661277,0.6906565656565656,0.3333067395567395,0.5073232323232323,0.7901785714285715,0.6488482870030712,8.319444444444445,1.9444444444444444
sem_50_64,pil_acts,5,17,0.396078431372549,0.4727272727272728,0.4067269331975214,0.4286096256684492,0.7176470588235294,0.5275233773000664,4.705882352941177,1.8235294117647058
sem_50_64,pil_acts,10,17,0.2351604278074866,0.533957219251337,0.2994745450627803,0.4339572192513369,0.7176470588235294,0.5494537741070313,9.411764705882353,2.1176470588235294
sem_50_64,target_acts,5,72,0.3823412698412698,0.5914772727272727,0.4295210191043524,0.5088383838383838,0.8215277777777777,0.6346264697792102,4.319444444444445,1.5833333333333333
sem_50_64,target_acts,10,72,0.2640546953046953,0.7161195286195287,0.35984624942958277,0.5251473063973064,0.8235119047619048,0.6770900697005029,7.958333333333333,2.0416666666666665
sem_70_128,all_acts,5,72,0.34310515873015873,0.5708122895622896,0.39867085075418407,0.4444234006734007,0.719675925925926,0.5678629565066212,4.652777777777778,1.5555555555555556
sem_70_128,all_acts,10,72,0.22876367459700792,0.6889835858585859,0.3190123039486575,0.45889099326599325,0.7275462962962963,0.6111590040476744,8.972222222222221,1.9444444444444444
sem_70_128,pil_acts,5,17,0.3607843137254902,0.5097147950089127,0.3979967744673627,0.3901069518716578,0.6490196078431373,0.5128208017068656,5.470588235294118,1.9411764705882353
sem_70_128,pil_acts,10,17,0.2235922574157868,0.5704991087344029,0.30149034158410204,0.3901069518716578,0.6490196078431373,0.5367235215613212,10.058823529411764,2.235294117647059
sem_70_128,target_acts,5,72,0.3613921957671958,0.5874789562289562,0.4162313766480433,0.4772937710437711,0.7780092592592592,0.6044597752749318,4.583333333333333,1.625
sem_70_128,target_acts,10,72,0.25531389906389906,0.7253261784511785,0.35131238404285525,0.48944654882154887,0.7858796296296297,0.6562368630710739,8.61111111111111,2.0833333333333335
sem_70_256,all_acts,5,72,0.30631062610229276,0.5493476430976432,0.3597694451142727,0.44031986531986533,0.7273148148148149,0.5488851536273747,5.25,1.4861111111111112
sem_70_256,all_acts,10,72,0.2002308897529486,0.6734111952861953,0.2886844670255403,0.45188341750841754,0.7287037037037037,0.5947452136264197,10.069444444444445,1.9166666666666667
sem_70_256,pil_acts,5,17,0.27084500466853406,0.4188057040998217,0.30875778492411354,0.359982174688057,0.634313725490196,0.43904676755391014,6.352941176470588,1.6470588235294117
sem_70_256,pil_acts,10,17,0.19298995890691392,0.5388591800356506,0.2660164179696141,0.3751336898395722,0.6408496732026143,0.4915268443345168,11.647058823529411,2.176470588235294
sem_70_256,target_acts,5,72,0.319692961359628,0.5706439393939394,0.37542770660586755,0.4588383838383839,0.7523148148148148,0.5726956755330385,5.222222222222222,1.5555555555555556
sem_70_256,target_acts,10,72,0.22216026643109976,0.7155408249158248,0.3181078939979869,0.4727167508417509,0.7566137566137566,0.6286111272502732,9.73611111111111,2.0694444444444446
sem_70_64,all_acts,5,72,0.3635912698412698,0.5817550505050505,0.4130958547625214,0.49332912457912453,0.7881944444444444,0.6131764224473226,4.416666666666667,1.5416666666666667
sem_70_64,all_acts,10,72,0.24182595953429287,0.6906565656565656,0.33369254202587534,0.5073232323232323,0.7901785714285715,0.6487463924198,8.305555555555555,1.9444444444444444
sem_70_64,pil_acts,5,17,0.396078431372549,0.4727272727272728,0.4067269331975214,0.4286096256684492,0.7176470588235294,0.5275233773000664,4.705882352941177,1.8235294117647058
sem_70_64,pil_acts,10,17,0.2351604278074866,0.533957219251337,0.2994745450627803,0.4339572192513369,0.7176470588235294,0.5494537741070313,9.411764705882353,2.1176470588235294
sem_70_64,target_acts,5,72,0.3818783068783069,0.5914772727272727,0.4287935058768392,0.5088383838383838,0.8215277777777777,0.6346264697792102,4.319444444444445,1.5833333333333333
sem_70_64,target_acts,10,72,0.26449561241227904,0.7161195286195287,0.3604845771512438,0.5251473063973064,0.8235119047619048,0.6769881751172319,7.930555555555555,2.0416666666666665
